Name,Kind,WD,Retail Price,Dealer Cost,EngineSize,Weight,Width
Kia Rio 4dr manual,CellDx,,10280,9875,1,2403,66
Hyundai Accent 2dr hatch,CellDx,,10539,10107,1,2255,66
Toyota Echo 2dr manual,CellDx,,10760,10144,1,2035,65
Saturn Ion1 4dr,CellDx,,10995,10319,2,2692,67
Kia Rio 4dr auto,CellDx,,11155,10705,1,2458,66
Toyota Echo 4dr,CellDx,,11290,10642,1,2055,65
Toyota Echo 2dr auto,CellDx,,11560,10896,1,2085,65
Chevrolet Aveo 4dr,CellDx,,11690,10965,1,2370,66
Hyundai Accent GL 4dr,CellDx,,11839,11116,1,2290,66
Hyundai Accent GT 2dr hatch,CellDx,,11939,11209,1,2339,66
Suzuki Forenza S 4dr,CellDx,,12269,12116,2,2701,68
Kia Spectra 4dr,CellDx,,12360,11630,1,2661,68
Chevrolet Aveo LS 4dr hatch,CellDx,,12585,11802,1,2348,66
Nissan Sentra 1.8 4dr,CellDx,,12740,12205,1,2513,67
Suzuki Aeno S 4dr,CellDx,,12884,12719,2,2676,68
Scion xA 4dr hatch,CellDx,,12965,12340,1,2340,67
Honda Civic DX 2dr,CellDx,,13270,12175,1,2432,67
Ford Focus ZX3 2dr hatch,CellDx,,13270,12482,2,2612,67
Kia Spectra GS 4dr hatch,CellDx,,13580,12830,1,2686,68
Dodge Neon SE 4dr,CellDx,,13670,12849,2,2581,67
Ford Focus LX 4dr,CellDx,,13730,12906,2,2606,67
Hyundai Elantra GLS 4dr,CellDx,,13839,12781,2,2635,68
Toyota Corolla CE 4dr,CellDx,,14085,13065,1,2502,67
Honda Civic HX 2dr,CellDx,,14170,12996,1,2500,67
Saturn lon2 4dr,CellDx,,14300,13393,2,2692,67
Suzuki Aerio LX 4dr,CellDx,,14500,14317,2,2676,68
Chevrolet Cavalier 2dr,CellDx,,14610,13697,2,2617,69
Mitsubishi Lancer ES 4dr,CellDx,,14622,13751,2,2656,67
Kia Spectra GSX 4dr hatch,CellDx,,14630,13790,1,2697,68
Nissan Sentra 1.8 S 4dr,CellDx,,14740,13747,1,2581,67
Chevrolet Cavalier 4dr,CellDx,,14810,13884,2,2676,68
Saturn lon2 quad coupe 2dr,CellDx,,14850,13904,2,2751,68
Toyota Corolla S 4dr,CellDx,,15030,13650,1,2524,67
Dodge Neon SXT 4dr,CellDx,,15040,14086,2,2626,67
Toyota Corolla LE 4dr,CellDx,,15295,13889,1,2524,67
Hyundai Elantra GT 4dr hatch,CellDx,,15389,14207,2,2698,68
Hyundai Elantra GT 4dr,CellDx,,15389,14207,2,2635,68
Ford Focus SE 4dr,CellDx,,15460,14496,2,2606,67
Pontiac Sunfire 1SA 2dr,CellDx,,15495,14375,2,2771,68
Suzuki Forenza EX 4dr,CellDx,,15568,15378,2,2756,68
Ford Focus ZX5 5dr,CellDx,,15580,14607,2,2691,67
Saturn lon3 4dr,CellDx,,15825,14811,2,2692,67
Honda Civic LX 4dr,CellDx,,15850,14531,1,2513,68
Kia Optima LX 4dr,CellDx,,16040,14910,2,3281,72
Saturn lon3 quad coupe 2dr,CellDx,,16350,15299,2,2751,68
Chevrolet Cavalier LS 2dr,CellDx,,16385,15357,2,2617,69
Mitsubishi Lancer LS 4dr,CellDx,,16722,15718,2,2795,67
Mini Cooper,CellDx,,16999,15437,1,2524,67
Mitsubishi Lancer OZ Rally 4dr auto,CellDx,,17232,16196,2,2744,67
Suzuki Verona LX 4dr,CellDx,,17262,17053,2,3380,72
Nissan Sentra SE-R 4dr,CellDx,,17640,16444,2,2761,67
Pontiac Sunfire 1SC 2dr,CellDx,,17735,16369,2,2771,68
Honda Civic EX 4dr,CellDx,,17750,16265,1,2601,68
Chrysler PT Cruiser 4dr,CellDx,,17985,16919,2,3101,67
Kia Optima LX V6 4dr,CellDx,,18435,16850,2,3279,72
Volkswagen Golf GLS 4dr,CellDx,,18715,17478,2,2897,68
Dodge Stratus SXT 4dr,CellDx,,18820,17512,2,3182,71
Oldsmobile Alero GX 2dr,CellDx,,18825,17642,2,2946,70
Chevrolet Malibu 4dr,CellDx,,18995,17434,2,3174,70
Chrysler Sebring 4dr,CellDx,,19090,17805,2,3173,71
Honda Insight 2dr (gas/electric),CellDx,,19110,17911,2,1850,67
Ford Focus SVT 2dr,CellDx,,19135,17878,2,2750,67
Nissan Altima S 4dr,CellDx,,19240,18030,2,3039,70
Mazda6 i 4dr,CellDx,,19270,17817,2,3042,70
Mitsubishi Galant ES 2.4L 4dr,CellDx,,19312,17957,2,3351,72
Hyundai Sonata GLS 4dr,CellDx,,19339,17574,2,3217,72
Honda Civic Si 2dr hatch,CellDx,,19490,17849,2,2782,67
Toyota Camry LE 4dr,CellDx,,19560,17558,2,3086,71
Toyota Camry Solara SE 2dr,CellDx,,19635,17722,2,3175,72
Volkswagen GTI 1.8T 2dr hatch,CellDx,,19825,18109,1,2934,68
Honda Accord LX 2dr,CellDx,,19860,17924,2,2994,71
Subaru Impreza 2.5 RS 4dr,CellDx,AWD,19945,18399,2,2965,69
Mini Cooper S,CellDx,,19999,18137,1,2678,67
Honda Civic Hybrid 4dr manual (gas/electric),CellDx,,20140,18451,1,2732,68
Dodge Stratus SE 4dr,CellDx,,20220,18821,2,3175,71
Hyundai Sonata LX 4dr,CellDx,,20339,18380,2,3217,72
Chevrolet Malibu LS 4dr,CellDx,,20370,18639,3,3297,70
Subaru Legacy L 4dr,CellDx,AWD,20445,18713,2,3285,69
Toyota Prius 4dr (gas/electric),CellDx,,20510,18926,1,2890,68
Volkswagen New Beetle GLS 1.8T 2dr,CellDx,,21055,19638,1,2820,68
Volkswagen Jetta GLS TDI 4dr,CellDx,,21055,19638,1,3003,68
Saturn L300-2 4dr,CellDx,,21410,19801,3,3197,69
Mercury Sable GS 4dr,CellDx,,21595,19848,3,3308,73
Chevrolet Monte Carlo LS 2dr,CellDx,,21825,20026,3,3340,73
Chrysler Sebring Touring 4dr,CellDx,,21840,20284,2,3222,71
Chevrolet Impala 4dr,CellDx,,21900,20095,3,3465,73
Toyota Camry Solara SE V6 2dr,CellDx,,21965,19819,3,3417,72
Chrysler PT Cruiser Limited 4dr,CellDx,,22000,20573,2,3105,67
Dodge Intrepid SE 4dr,CellDx,,22035,20502,2,3469,75
Buick Century Custom 4dr,CellDx,,22180,20351,3,3353,73
Honda Accord EX 2dr,CellDx,,22260,20080,2,3047,71
Pontiac Grand Prix GT1 4dr,CellDx,,22395,20545,3,3477,74
Pontiac Grand Am GT 2dr,CellDx,,22450,20595,3,3118,70
Toyota Camry LE V6 4dr,CellDx,,22775,20325,3,3296,71
Volkswagen New Beetle GLS convertible 2dr,CellDx,,23215,21689,2,3082,68
Nissan Altima SE 4dr,CellDx,,23290,21580,3,3197,70
Chevrolet Malibu LT 4dr,CellDx,,23495,21551,3,3315,70
Oldsmobile Alero GLS 2dr,CellDx,,23675,21485,3,3085,70
Honda Accord LX V6 4dr,CellDx,,23760,21428,3,3349,72
Volkswagen Jetta GLI VR6 4dr,CellDx,,23785,21686,2,3179,68
Acura RSX Type S 2dr,CellDx,,23820,21761,2,2778,68
Mercury Sable LS Premium 4dr,CellDx,,23895,21918,3,3315,73
Volkswagen Passat GLS 4dr,CellDx,,23955,21898,1,3241,69
Chrysler Concorde LX 4dr,CellDx,,24130,22452,2,3479,74
Chevrolet Monte Carlo SS 2dr,CellDx,,24225,22222,3,3434,73
Pontiac Grand Prix GT2 4dr,CellDx,,24295,22284,3,3484,74
Ford Crown Victoria 4dr,CellDx,RWD,24345,22856,4,4057,78
Hyundai XG350 4dr,CellDx,,24589,22055,3,3651,72
Mercury Grand Marquis GS 4dr,CellDx,RWD,24695,23217,4,4052,78
Dodge Intrepid ES 4dr,CellDx,,24885,23058,3,3487,75
Buick Regal LS 4dr,CellDx,,24895,22835,3,3461,73
Chevrolet Impala LS 4dr,CellDx,,25000,22931,3,3476,73
Volvo S40 4dr,CellDx,,25135,23701,1,2767,68
Chrysler Sebring convertible 2dr,CellDx,,25215,23451,2,3357,64
Subaru Legacy GT 4dr,CellDx,AWD,25645,23336,2,3395,69
Mitsubishi Galant GTS 4dr,CellDx,,25700,23883,3,3649,72
Toyota Camry XLE V6 4dr,CellDx,,25920,23125,3,3362,71
Audi A4 1.8T 4dr,CellDx,,25940,23508,1,3252,70
Chrvsler PT Cruiser GT 4dr,CellDx,,25955,24172,2,3217,67
Mercedes-Benz C230 Sport 2dr,CellDx,RWD,26060,24249,1,3250,68
Hyundai XG350 L 4dr,CellDx,,26189,23486,3,3651,72
Buick LeSabre Custom 4dr,CellDx,,26470,24282,3,3567,74
Toyota Camry Solara SLE V6 2dr,CellDx,,26510,23908,3,3439,72
Toyota Avalon XL 4dr,CellDx,,26560,23693,3,3417,72
Chrysler Concorde LXi 4dr,CellDx,,26860,24909,3,3548,74
Honda Accord EX V6 2dr,CellDx,,26960,24304,3,3294,71
Acura TSX 4dr,CellDx,,26990,24647,2,3230,69
Subaru Outback Limited Sedan 4dr,CellDx,AWD,27145,24687,2,3495,69
Ford Crown Victoria LX 4dr,CellDx,RWD,27370,25105,4,4057,78
Nissan Maxima SE 4dr,CellDx,,27490,25182,3,3473,72
Chevrolet Impala SS 4dr,CellDx,,27995,25672,3,3606,73
Buick Regal GS 4dr,CellDx,,28345,26047,3,3536,73
Mercedes-Benz C320 Sport 2dr,CellDx,RWD,28370,26435,3,3430,68
Infiniti G35 4dr,CellDx,RWD,28495,26157,3,3336,69
BMW 325i 4dr,CellDx,RWD,28495,26155,2,3219,69
Mitsubishi Diamante LS 4dr,CellDx,,29282,27250,3,3549,70
Subaru Outback H6 4dr,CellDx,AWD,29345,26660,3,3610,69
Nissan Maxima SL 4dr,CellDx,,29440,26966,3,3476,72
Mercury Grand Marquis LS Premium 4dr,CellDx,RWD,29595,27148,4,4052,78
Infiniti G35 Sport Coupe 2dr,CellDx,RWD,29795,27536,3,3416,72
Chrysler 300M 4dr,CellDx,,29865,27797,3,3581,74
Jaguar X-Type 2.5 4dr,CellDx,AWD,29995,27355,2,3428,70
BMW 325xi 4dr,CellDx,AWD,30245,27745,2,3461,69
Ford Crown Victoria LX Sport 4dr,CellDx,RWD,30315,27756,4,4057,78
BMW 325Ci 2dr,CellDx,RWD,30795,28245,2,3197,69
Cadillac CTS VVT 4dr,CellDx,RWD,30835,28575,3,3694,71
Saab 9-3 Arc Sport 4dr,CellDx,,30860,29269,2,3175,69
Nissan 350Z Enthusiast convertible 2drMercury GranCellDx,CellDx,RWD,30895,28318,4,4052,78
Toyota Avalon XLS 4dr,CellDx,,30920,27271,3,3439,72
Chrysler Sebring Limited convertible 2dr,CellDx,,30950,28613,2,3448,69
Lexus IS 300 4dr manual,CellDx,RWD,31045,27404,3,3255,68
Infiniti I35 4dr,CellDx,,31145,28320,3,3306,70
Subaru Outback H-6 VDC 4dr,CellDx,AWD,31545,28603,3,3630,69
Volvo S60 2.5 4dr,CellDx,AWD,31745,29916,2,3903,71
Audi A4 3.0 4dr,CellDx,,31840,28846,3,3462,70
Buick LeSabre Limited 4dr,CellDx,,32245,29566,3,3591,74
Mercedes-Benz C240 4dr,CellDx,RWD,32280,30071,2,3360,68
Lexus ES 330 4dr,CellDx,,32350,28755,3,3460,71
Lexus IS 300 4dr auto,CellDx,RWD,32415,28611,3,3285,68
Infiniti G35 4dr,CellDx,AWD,32445,29783,3,3677,69
Lincoln LS V6 Luxury 4dr,CellDx,RWD,32495,29969,3,3681,73
Volkswagen Passat GLX V6 4MOTION 4dr,CellDx,,33180,30583,2,3721,69
Acura TL 4dr,CellDx,,33195,30299,3,3575,72
Chrysler 300M Special Edition 4dr,CellDx,,33295,30884,3,3650,74
Saab 9-3 Aero 4dr,CellDx,,33360,31562,2,3175,69
Audi A4 3.0 Quattro 4dr manual,CellDx,AWD,33430,30366,3,3583,70
Mercedes-Benz C240 4dr,CellDx,AWD,33480,31187,2,3360,68
Jaguar X-Type 3.0 4dr,CellDx,AWD,33995,30995,3,3516,70
Audi A4 3.0 Quattro 4dr auto,CellDx,AWD,34480,31388,3,3627,70
Mercury Marauder 4dr,CellDx,RWD,34495,31558,4,4195,78
Volvo S60 T5 4dr,CellDx,,34845,32902,2,3766,71
Saab 9-5 Arc 4dr,CellDx,,35105,33011,2,3470,71
BMW 330i 4dr,CellDx,RWD,35495,32525,3,3285,69
Buick Park Avenue 4dr,CellDx,,35545,32244,3,3778,75
Mercedes-Benz C320 Sport 4dr,CellDx,RWD,35920,33456,3,3430,68
Audi A41.8T convertible 2dr,CellDx,,35940,32506,1,3638,70
Pontiac Bonneville GXP 4dr,CellDx,,35995,32997,4,3790,74
Audi A6 3.0 4dr,CellDx,,36640,33129,3,3561,71
Lincoln LS V6 Premium 4dr,CellDx,RWD,36895,33929,3,3681,73
BMW 330Ci 2dr,CellDx,RWD,36995,33890,3,3285,69
BMW 330xi 4dr,CellDx,AWD,37245,34115,3,3483,69
Volvo S60 R 4dr,CellDx,AWD,37560,35382,2,3571,71
Mercedes-Benz C320 4dr,CellDx,RWD,37630,35046,3,3450,68
Volvo S80 2.9 4dr,CellDx,,37730,35542,2,3576,72
Volvo S80 2.5T 4dr,CellDx,AWD,37885,35688,2,3691,72
BMW 325Ci convertible 2dr,CellDx,RWD,37995,34800,2,3560,69
Mercedes-Benz C320 4dr,CellDx,AWD,38830,36162,3,3550,68
Volkswagen Passat W8 4MOTION 4dr,CellDx,,39235,36052,4,3953,69
Saab 9-5 Aero 4dr,CellDx,,39465,37721,2,3470,71
Audi A6 3.0 Quattro 4dr,CellDx,AWD,39640,35992,3,3880,71
BMW 525i 4dr,CellDx,RWD,39995,36620,2,3428,73
Lincoln LS V8 Sport 4dr,CellDx,RWD,40095,36809,3,3768,73
Volvo C70 LPT convertible 2dr,CellDx,,40565,38203,2,3450,72
Saab 9-3 Arc convertible 2dr,CellDx,,40670,38520,2,3480,69
Buick Park Avenue Ultra 4dr,CellDx,,40720,36927,3,3909,75
Lexus GS 300 4dr,CellDx,RWD,41010,36196,3,3649,71
Lincoln Town Car Signature 4dr,CellDx,RWD,41815,38418,4,4369,78
Audi A4 3.0 convertible 2dr,CellDx,,42490,38325,3,3814,70
Volvo C70 HPT convertible 2dr,CellDx,,42565,40083,2,3450,72
Audi A6 2.7 Turbo Quattro 4dr,CellDx,AWD,42840,38840,2,3836,71
Infiniti M45 4dr,CellDx,RWD,42845,38792,4,3851,70
Saab 9-3 Aero convertible 2dr,CellDx,,43175,40883,2,3700,69
Lincoln LS V8 Ultimate 4dr,CellDx,RWD,43495,39869,3,3768,73
Acura 3.5 RL 4dr,CellDx,,43755,39014,3,3880,72
Jaguar S-Type 3.0 4dr,CellDx,RWD,43895,40004,3,3777,72
Audi A4 3.0 Quattro convertible 2dr,CellDx,AWD,44240,40075,3,4013,70
BMW 330Ci convertible 2dr,CellDx,RWD,44295,40530,3,3616,69
Lincoln Town Car Ultimate 4dr,CellDx,RWD,44925,41217,4,4369,78
BMW 530i 4dr,CellDx,RWD,44995,41170,3,3472,73
Volvo S80 T6 4dr,CellDx,,45210,42573,2,3653,72
Cadillac Deville 4dr,CellDx,,45445,41650,4,3984,74
Mercedes-Benz CLK320 coupe 2dr (convertible),CellDx,RWD,45707,41966,3,3770,69
Acura 3.5 RL w/Navigation 4dr,CellDx,,46100,41100,3,3893,72
Cadillac Seville SLS 4dr,CellDx,,47955,43841,4,3992,75
Audi S4 Quattro 4dr,CellDx,AWD,48040,43556,4,3825,70
Mercedes-Benz E320 4dr,CellDx,RWD,48170,44849,3,3635,71
Lexus GS 430 4dr,CellDx,RWD,48450,42232,4,3715,71
Audi A6 4.2 Quattro 4dr,CellDx,AWD,49690,44936,4,4024,71
Jaguar S-Type 4.2 4dr,CellDx,RWD,49995,45556,4,3874,72
Lincoln Town Car Ultimate L 4dr,CellDx,RWD,50470,46208,4,4474,78
Cadillac Deville DTS 4dr,CellDx,,50595,46362,4,4044,74
Mercedes-Benz C32 AMG 4dr,CellDx,RWD,52120,48522,3,3540,68
Infiniti Q45 Luxury 4dr,CellDx,RWD,52545,47575,4,3977,73
Mercedes-Benz CLK500 coupe 2dr (convertible),CellDx,RWD,52800,49104,5,3585,69
BMW 545iA 4dr,CellDx,RWD,54995,50270,4,3814,73
Lexus LS 430 4dr,CellDx,RWD,55750,48583,4,3990,72
Mercedes-Benz E500 4dr,CellDx,RWD,57270,53382,5,3815,71
Jaguar XJ8 4dr,CellDx,RWD,59995,54656,4,3803,73
Jaguar S-Type R 4dr,CellDx,RWD,63120,57499,4,4046,72
Volkswagen Phaeton 4dr,CellDx,,65000,59912,4,5194,75
Jaguar Vanden Plas 4dr,CellDx,RWD,68995,62846,4,3803,73
Audi A8 L Quattro 4dr,CellDx,AWD,69190,64740,4,4399,75
BMW 745i 4dr,CellDx,RWD,69195,63190,4,4376,75
BMW 745Li 4dr,CellDx,RWD,73195,66830,4,4464,75
Mercedes-Benz S430 4dr,CellDx,RWD,74320,69168,4,4160,73
Jaguar XJR 4dr,CellDx,RWD,74995,68306,4,3948,73
Volkswagen Phaeton W12 4dr,CellDx,,75000,69130,6,5399,75
Mercedes-Benz S500 4dr,CellDx,AWD,86970,80939,5,4390,73
Mercedes-Benz CL500 2dr,CellDx,RWD,94820,88324,5,4085,73
Mercedes-Benz CL600 2dr,CellDx,RWD,128420,119600,5,4473,73
